Edelar/Distribuidora	Capital	Chilecito	Aimogasta	Sur	Villa Unión	Total							
01/1997	 -   	 -   	 -   	 -   	 -   	 -   							
02/1997	 -   	 -   	 -   	 -   	 -   	 -   							
03/1997	 -   	 -   	 -   	 -   	 -   	 -   							
04/1997	 -   	 -   	 -   	 -   	 -   	 -   							
05/1997	 12.444 	 4.777 	 2.216 	 2.192 	 0.636 	 22.264 							
06/1997	 12.463 	 4.479 	 1.975 	 2.229 	 0.633 	 21.779 							
07/1997	 13.262 	 4.998 	 2.123 	 2.299 	 0.650 	 23.332 							
08/1997	 12.874 	 5.508 	 2.246 	 2.235 	 0.635 	 23.498 							
09/1997	 12.511 	 6.338 	 2.474 	 2.129 	 0.623 	 24.075 							
10/1997	 14.069 	 7.122 	 2.930 	 2.239 	 0.650 	 27.011 							
11/1997	 15.261 	 7.563 	 3.046 	 2.228 	 0.686 	 28.784 							
12/1997	 15.474 	 8.034 	 3.292 	 2.419 	 0.745 	 29.964 							
01/1998	 15.533 	 7.765 	 3.214 	 2.392 	 0.749 	 29.652 							
02/1998	 13.478 	 6.041 	 2.972 	 2.100 	 0.689 	 25.280 							
03/1998	 14.391 	 6.159 	 3.253 	 2.246 	 0.739 	 26.788 							
04/1998	 13.215 	 5.182 	 2.836 	 2.184 	 0.689 	 24.105 	
05/1998	 13.121 	 4.629 	 2.392 	 2.269 	 0.711 	 23.123 	
06/1998	 13.455 	 4.394 	 2.279 	 2.302 	 0.718 	 23.148 	
07/1998	 14.265 	 5.133 	 2.588 	 2.430 	 0.745 	 25.162 	
08/1998	 14.178 	 5.210 	 2.745 	 2.319 	 0.744 	 25.197 	
09/1998	 14.560 	 6.096 	 2.924 	 2.254 	 0.733 	 26.567 	
10/1998	 16.355 	 7.125 	 3.267 	 2.482 	 0.798 	 30.026 	
11/1998	 16.934 	 7.536 	 3.516 	 2.491 	 0.807 	 31.284 	
12/1998	 18.685 	 8.882 	 3.951 	 2.702 	 0.863 	 35.083 	
01/1999	 18.132 	 8.614 	 3.571 	 2.719 	 0.835 	 33.871 	
02/1999	 16.820 	 7.583 	 3.469 	 2.472 	 0.801 	 31.144 	
03/1999	 17.076 	 7.744 	 3.793 	 2.712 	 0.866 	 32.190 	
04/1999	 14.481 	 5.916 	 3.252 	 2.389 	 0.761 	 26.799 	
05/1999	 14.994 	 5.364 	 2.864 	 2.485 	 0.821 	 26.527 	
06/1999	 15.682 	 5.304 	 2.618 	 2.705 	 0.827 	 27.135 	
07/1999	 16.099 	 5.601 	 2.701 	 2.823 	 0.877 	 28.102 	
08/1999	 15.839 	 6.682 	 2.994 	 2.676 	 0.862 	 29.052 	
09/1999	 15.468 	 7.318 	 3.233 	 2.520 	 0.819 	 29.357 	
10/1999	 16.144 	 7.574 	 3.489 	 2.648 	 0.841 	 30.696 	
11/1999	 16.312 	 7.894 	 3.707 	 2.666 	 0.827 	 31.406 	
12/1999	 18.953 	 9.007 	 4.217 	 2.966 	 0.880 	 36.024 	
01/2000	 19.207 	 7.910 	 3.822 	 3.087 	 0.891 	 34.916 	
02/2000	 17.730 	 7.400 	 3.410 	 2.788 	 0.822 	 32.151 	
03/2000	 16.607 	 7.536 	 3.322 	 2.825 	 0.923 	 31.213 	
04/2000	 14.934 	 5.687 	 2.947 	 2.757 	 0.820 	 27.146 	
05/2000	 15.482 	 5.452 	 2.890 	 2.896 	 0.869 	 27.588 	
06/2000	 15.860 	 5.194 	 2.629 	 2.950 	 0.850 	 27.483 	
07/2000	 17.201 	 5.459 	 2.730 	 3.153 	 0.845 	 29.388 	
08/2000	 16.365 	 6.606 	 3.121 	 3.008 	 0.888 	 29.988 	
09/2000	 16.063 	 7.646 	 3.446 	 2.749 	 0.829 	 30.733 	
10/2000	 17.406 	 8.570 	 4.240 	 2.898 	 0.853 	 33.967 	
11/2000	 18.702 	 9.733 	 4.677 	 2.944 	 0.842 	 36.898 	
12/2000	 21.319 	 10.543 	 5.013 	 3.294 	 0.920 	 41.089 			
01/2001	 21.445 	 10.230 	 5.181 	 3.298 	 0.953 	 41.107 			
02/2001	 20.604 	 8.172 	 4.580 	 3.270 	 0.868 	 37.494 			
03/2001	 20.037 	 8.184 	 4.486 	 3.285 	 0.960 	 36.951 			
04/2001	 15.743 	 6.287 	 4.058 	 2.864 	 0.794 	 29.746 			
05/2001	 16.552 	 6.119 	 3.365 	 2.926 	 0.826 	 29.788 			
06/2001	 16.235 	 5.801 	 2.995 	 2.996 	 0.906 	 28.932 			
07/2001	 16.733 	 5.831 	 2.993 	 3.023 	 0.860 	 29.438 			
08/2001	 16.468 	 7.530 	 3.611 	 2.851 	 0.845 	 31.304 			
09/2001	 15.982 	 7.846 	 4.105 	 2.742 	 0.799 	 31.473 			
10/2001	 18.199 	 8.777 	 4.609 	 2.946 	 0.830 	 35.362 			
11/2001	 19.484 	 9.115 	 4.884 	 3.030 	 0.814 	 37.327 			
12/2001	 21.771 	 10.078 	 5.121 	 3.388 	 0.887 	 41.245 			
01/2002	 21.583 	 10.238 	 5.329 	 3.372 	 0.987 	 41.510 			
02/2002	 18.235 	 8.782 	 4.853 	 3.005 	 0.878 	 35.753 			
03/2002	 19.368 	 8.913 	 4.812 	 3.207 	 0.986 	 37.286 			
04/2002	 15.563 	 6.633 	 3.754 	 2.769 	 0.864 	 29.582 	
05/2002	 14.729 	 5.967 	 3.168 	 2.837 	 0.890 	 27.590 	
06/2002	 16.383 	 6.162 	 2.883 	 3.094 	 0.929 	 29.451 	
07/2002	 16.320 	 6.361 	 3.021 	 3.071 	 0.934 	 29.707 	
08/2002	 15.431 	 6.911 	 3.866 	 2.841 	 0.906 	 29.955 	
