Edelar/Cons Propios	Capital	Chilecito	Aimogasta	Sur	Villa Unión	Total						
01/1997	 -   	 -   	 -   	 -   	 -   	 -   						
02/1997	 -   	 -   	 -   	 -   	 -   	 -   						
03/1997	 -   	 -   	 -   	 -   	 -   	 -   						
04/1997	 -   	 -   	 -   	 -   	 -   	 -   						
05/1997	 0.040 	 0.020 	 0.010 	 0.010 	 -   	 0.080 						
06/1997	 0.040 	 0.020 	 0.010 	 0.010 	 -   	 0.080 						
07/1997	 0.040 	 0.020 	 0.010 	 0.010 	 -   	 0.080 						
08/1997	 0.040 	 0.020 	 0.010 	 0.010 	 -   	 0.080 						
09/1997	 0.040 	 0.020 	 0.010 	 0.010 	 -   	 0.080 						
10/1997	 0.040 	 0.020 	 0.010 	 0.010 	 -   	 0.080 						
11/1997	 0.040 	 0.020 	 0.010 	 0.010 	 -   	 0.080 						
12/1997	 0.040 	 0.020 	 0.010 	 0.010 	 -   	 0.080 						
01/1998	 0.040 	 0.020 	 0.010 	 0.010 	 -   	 0.080 						
02/1998	 0.040 	 0.020 	 0.010 	 0.010 	 -   	 0.080 						
03/1998	 0.040 	 0.020 	 0.010 	 0.010 	 -   	 0.080 						
04/1998	 0.040 	 0.020 	 0.010 	 0.010 	 -   	 0.080 
05/1998	 0.040 	 0.020 	 0.010 	 0.010 	 -   	 0.080 
06/1998	 0.040 	 0.020 	 0.010 	 0.010 	 -   	 0.080 
07/1998	 0.040 	 0.020 	 0.010 	 0.010 	 -   	 0.080 
08/1998	 0.040 	 0.020 	 0.010 	 0.010 	 0.010 	 0.090 
09/1998	 0.040 	 0.020 	 0.010 	 0.010 	 0.010 	 0.090 
10/1998	 0.040 	 0.020 	 0.010 	 0.010 	 0.010 	 0.090 
11/1998	 0.040 	 0.020 	 0.010 	 0.010 	 0.010 	 0.090 
12/1998	 0.040 	 0.020 	 0.010 	 0.010 	 0.010 	 0.090 
01/1999	 0.040 	 0.020 	 0.010 	 0.010 	 0.010 	 0.090 
02/1999	 0.040 	 0.020 	 0.010 	 0.010 	 0.010 	 0.090 
03/1999	 0.022 	 0.006 	 0.010 	 0.008 	 0.004 	 0.049 
04/1999	 0.020 	 0.004 	 0.010 	 0.006 	 0.004 	 0.045 
05/1999	 0.020 	 0.007 	 0.010 	 0.008 	 0.006 	 0.050 
06/1999	 0.024 	 0.008 	 0.020 	 0.011 	 0.007 	 0.069 
07/1999	 0.023 	 0.009 	 0.008 	 0.010 	 0.008 	 0.058 
08/1999	 0.023 	 0.007 	 0.008 	 0.010 	 0.007 	 0.056 
09/1999	 0.037 	 0.006 	 0.005 	 0.013 	 0.005 	 0.065 
10/1999	 0.025 	 0.007 	 0.006 	 0.005 	 0.004 	 0.048 
11/1999	 0.034 	 0.007 	 0.005 	 0.006 	 0.004 	 0.056 
12/1999	 0.027 	 0.007 	 0.008 	 0.010 	 0.006 	 0.058 
01/2000	 0.033 	 0.010 	 0.009 	 0.034 	 0.005 	 0.090 
02/2000	 0.032 	 0.007 	 0.008 	 0.006 	 0.004 	 0.057 
03/2000	 0.022 	 0.003 	 0.007 	 0.010 	 0.003 	 0.045 
04/2000	 0.023 	 0.009 	 0.006 	 0.025 	 0.003 	 0.065 
05/2000	 0.015 	 0.008 	 0.008 	 0.006 	 0.009 	 0.046 
06/2000	 0.023 	 0.009 	 0.006 	 0.025 	 0.003 	 0.065 
07/2000	 0.024 	 0.011 	 0.010 	 0.012 	 0.007 	 0.063 
08/2000	 0.025 	 0.022 	 0.008 	 0.009 	 0.006 	 0.070 
09/2000	 0.028 	 0.046 	 0.008 	 0.008 	 0.004 	 0.094 
10/2000	 0.047 	 0.072 	 0.009 	 0.007 	 0.004 	 0.139 
11/2000	 0.050 	 0.071 	 0.015 	 0.009 	 0.004 	 0.149 
12/2000	 0.057 	 0.050 	 0.011 	 0.014 	 0.005 	 0.137 
01/2001	 0.057 	 0.045 	 0.012 	 0.014 	 0.006 	 0.133 
02/2001	 0.050 	 0.071 	 0.015 	 0.009 	 0.004 	 0.149 
03/2001	 0.038 	 0.017 	 0.012 	 0.011 	 0.005 	 0.083 
04/2001	 0.019 	 0.035 	 0.009 	 0.006 	 0.004 	 0.072 
05/2001	 0.021 	 0.030 	 0.007 	 0.007 	 0.007 	 0.072 
06/2001	 0.023 	 0.040 	 0.006 	 0.007 	 0.007 	 0.083 
07/2001	 0.025 	 0.038 	 0.007 	 0.007 	 0.007 	 0.084 
08/2001	 0.025 	 0.048 	 0.006 	 0.007 	 0.006 	 0.093 
09/2001	 0.023 	 0.078 	 0.005 	 0.009 	 0.005 	 0.120 
10/2001	 0.028 	 0.078 	 0.006 	 0.007 	 0.004 	 0.123 
11/2001	 0.035 	 0.079 	 0.011 	 0.006 	 0.004 	 0.135 
12/2001	 0.036 	 0.052 	 0.009 	 0.006 	 0.005 	 0.109 
01/2002	 0.038 	 0.050 	 0.011 	 0.006 	 0.004 	 0.108 
02/2002	 0.050 	 0.020 	 0.012 	 0.006 	 0.003 	 0.093 
03/2002	 0.044 	 0.026 	 0.011 	 0.008 	 0.007 	 0.097 
04/2002	 0.025 	 0.008 	 0.008 	 0.008 	 0.005 	 0.054 			
05/2002	 0.037 	 0.018 	 0.007 	 0.013 	 0.010 	 0.086 			
06/2002	 0.037 	 0.018 	 0.007 	 0.006 	 0.012 	 0.081 			
07/2002	 0.043 	 0.022 	 0.007 	 0.011 	 0.011 	 0.094 			
08/2002	 0.035 	 0.044 	 0.006 	 0.010 	 0.010 	 0.105 			
09/2002	 0.040 	 0.036 	 0.006 	 0.006 	 0.008 	 0.096 			
10/2002	 0.039 	 0.011 	 0.010 	 0.006 	 0.008 	 0.074 			
