Edesa/Otros	Cafayate	Capital	Güemes	J V González	La Candelaria	Metán	Orán	S A Cobres	S Aislados	Tartagal	Valle de Lerma	Total	
01/1996	 -   	 -   	 -   	 -   	 0.174 	 -   	 -   	 -   	 -   	 -   	 -   	 0.174 	
02/1996	 -   	 -   	 -   	 -   	 0.146 	 -   	 -   	 -   	 -   	 -   	 -   	 0.146 	
03/1996	 -   	 -   	 -   	 -   	 0.161 	 -   	 -   	 -   	 -   	 -   	 -   	 0.161 	
04/1996	 -   	 -   	 -   	 -   	 0.134 	 -   	 -   	 -   	 -   	 -   	 -   	 0.134 	
05/1996	 -   	 -   	 -   	 -   	 0.149 	 -   	 -   	 -   	 -   	 -   	 -   	 0.149 	
06/1996	 -   	 -   	 -   	 -   	 0.156 	 -   	 -   	 -   	 -   	 -   	 -   	 0.156 	
07/1996	 -   	 -   	 -   	 -   	 0.167 	 -   	 -   	 -   	 -   	 -   	 -   	 0.167 	
08/1996	 -   	 -   	 -   	 -   	 0.154 	 -   	 -   	 -   	 -   	 -   	 -   	 0.154 	
09/1996	 -   	 -   	 -   	 -   	 0.148 	 -   	 -   	 -   	 -   	 -   	 -   	 0.148 	
10/1996	 -   	 -   	 -   	 -   	 0.163 	 -   	 -   	 -   	 -   	 -   	 -   	 0.163 	
11/1996	 -   	 -   	 -   	 -   	 0.154 	 -   	 -   	 -   	 -   	 -   	 -   	 0.154 	
12/1996	 -   	 -   	 -   	 -   	 0.168 	 -   	 -   	 -   	 -   	 -   	 -   	 0.168 	
01/1997	 -   	 -   	 -   	 -   	 0.175 	 -   	 -   	 -   	 -   	 -   	 -   	 0.175 	
02/1997	 -   	 -   	 -   	 -   	 0.144 	 -   	 -   	 -   	 -   	 -   	 -   	 0.144 	
03/1997	 -   	 -   	 -   	 -   	 0.160 	 -   	 -   	 -   	 -   	 -   	 -   	 0.160 	
04/1997	 -   	 -   	 -   	 -   	 0.153 	 -   	 -   	 -   	 -   	 -   	 -   	 0.153 
05/1997	 -   	 -   	 -   	 -   	 0.162 	 -   	 -   	 -   	 -   	 -   	 -   	 0.162 
06/1997	 -   	 -   	 -   	 -   	 0.167 	 -   	 -   	 -   	 -   	 -   	 -   	 0.167 
07/1997	 -   	 -   	 -   	 -   	 0.181 	 -   	 -   	 -   	 -   	 -   	 -   	 0.181 
08/1997	 -   	 -   	 -   	 -   	 0.170 	 -   	 -   	 -   	 -   	 -   	 -   	 0.170 
09/1997	 -   	 -   	 -   	 -   	 0.160 	 -   	 -   	 -   	 -   	 -   	 -   	 0.160 
10/1997	 -   	 -   	 -   	 -   	 0.187 	 -   	 -   	 -   	 -   	 -   	 -   	 0.187 
11/1997	 -   	 -   	 -   	 -   	 0.177 	 -   	 -   	 -   	 -   	 -   	 -   	 0.177 
12/1997	 -   	 -   	 -   	 -   	 0.177 	 -   	 -   	 -   	 -   	 -   	 -   	 0.177 
01/1998	 -   	 -   	 -   	 -   	 0.183 	 -   	 -   	 -   	 -   	 -   	 -   	 0.183 
02/1998	 -   	 -   	 -   	 -   	 0.178 	 -   	 -   	 -   	 -   	 -   	 -   	 0.178 
03/1998	 -   	 -   	 -   	 -   	 0.198 	 -   	 -   	 -   	 -   	 -   	 -   	 0.198 
04/1998	 -   	 -   	 -   	 -   	 0.182 	 -   	 -   	 -   	 -   	 -   	 -   	 0.182 
05/1998	 -   	 -   	 -   	 -   	 0.181 	 -   	 -   	 -   	 -   	 -   	 -   	 0.181 
06/1998	 -   	 -   	 -   	 -   	 0.199 	 -   	 -   	 -   	 -   	 -   	 -   	 0.199 
07/1998	 -   	 -   	 -   	 -   	 0.188 	 -   	 -   	 -   	 -   	 -   	 -   	 0.188 
