Edesa/Recuperos	7.Cafayate	1.Capital	2.Güemes	5.J V González	10.La Candelaria	6.Metán	3.Orán	8.S A Cobres	9.S Aislados	4.Tartagal	11.Valle de Lerma	Total		 11.Valle de Lerma 					
01/1996	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
02/1996	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
03/1996	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
04/1996	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
05/1996	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
06/1996	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
07/1996	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
08/1996	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
09/1996	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
10/1996	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
11/1996	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
12/1996	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
01/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
02/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
03/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
04/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
05/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
06/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.000917 
07/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.003500 
08/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.002721 
09/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.003725 
10/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.001890 
11/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.207378 
12/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.674031 
01/1998	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
02/1998	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
03/1998	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
04/1998	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
05/1998	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
06/1998	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
07/1998	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
08/1998	 -   	 -   	 -   	 -   	 -   	 -   	 -0.000 	 -   	 -   	 -0.000 	 -   	 -0.000272 							
09/1998	 -   	 -0.000 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -0.000013 							
10/1998	 -0.007 	 1.486 	 -0.004 	 0.002 	 -   	 -0.004 	 0.541 	 0.000 	 0.016 	 0.541 	 -   	 2.572794 							
11/1998	 0.038 	 3.560 	 0.898 	 0.012 	 -   	 0.113 	 0.258 	 0.002 	 0.000 	 0.258 	 -   	 5.141289 							
12/1998	 0.017 	 2.436 	 0.197 	 0.013 	 -   	 0.096 	 0.416 	 -   	 -   	 0.243 	 -   	 3.419 		 0.118 					
01/1999	 -   	 1.515 	 -0.069 	 0.030 	 0.023 	 0.066 	 0.253 	 0.001 	 0.001 	 0.019 	 -   	 1.838 		 0.078 					
02/1999	 -   	 0.443 	 0.004 	 0.039 	 -0.000 	 -0.002 	 0.099 	 -   	 0.001 	 0.010 	 -   	 0.594 		 0.148 					
03/1999	 0.014 	 1.601 	 0.024 	 0.358 	 -   	 0.005 	 -0.030 	 -   	 0.001 	 -0.004 	 -   	 1.969 		 0.575 					
04/1999	 0.001 	 1.032 	 0.023 	 0.579 	 -   	 0.026 	 0.216 	 -   	 0.000 	 0.030 	 -   	 1.907 		 0.283 					
05/1999	 0.041 	 0.197 	 0.035 	 -0.051 	 -   	 0.017 	 0.250 	 -   	 0.000 	 0.059 	 -   	 0.548 		 0.032 					
06/1999	 0.014 	 1.290 	 -0.006 	 0.044 	 -   	 0.021 	 0.173 	 -   	 0.001 	 -0.094 	 -   	 1.443 		 1.105 					
07/1999	 -0.000 	 0.247 	 0.026 	 -0.565 	 0.000 	 0.116 	 0.343 	 -   	 0.000 	 0.061 	 -   	 0.228 		 0.159 					
08/1999	 0.013 	 0.448 	 0.036 	 0.125 	 0.001 	 0.212 	 0.143 	 0.006 	 0.035 	 0.063 	 -   	 1.082 		 -0.004 					
09/1999	 -   	 -0.014 	 0.003 	 -0.004 	 -0.001 	 0.053 	 0.057 	 -   	 0.001 	 0.030 	 -   	 0.125 		 -0.182 					
10/1999	 0.001 	 0.629 	 0.004 	 0.002 	 -   	 0.008 	 -0.024 	 -   	 0.001 	 0.008 	 -   	 0.628 		 0.015 					
11/1999	 0.007 	 -0.172 	 0.004 	 0.015 	 -   	 0.004 	 0.106 	 -   	 0.014 	 0.005 	 -   	 -0.018 		 0.023 					 0.023 
12/1999	 0.001 	 0.437 	 0.002 	 0.084 	 0.001 	 0.026 	 0.020 	 -   	 0.008 	 0.079 	 -   	 0.657 		 0.011 					 0.011 
01/2000	 0.002 	 0.444 	 0.002 	 0.041 	 0.023 	 0.028 	 0.177 	 -   	 0.002 	 0.111 	 -   	 0.830 		 0.039 					
02/2000	 0.012 	 0.471 	 0.029 	 0.172 	 0.000 	 0.009 	 0.160 	 -   	 0.017 	 0.297 	 -   	 1.166 		 0.027 					
03/2000	 0.006 	 0.848 	 0.108 	 0.156 	 -   	 -0.001 	 0.048 	 -   	 0.001 	 0.154 	 -   	 1.321 		 0.160 					
04/2000	 0.003 	 0.438 	 0.015 	 0.007 	 -0.003 	 0.014 	 0.119 	 -   	 0.001 	 0.152 	 -   	 0.745 		 0.170 					
05/2000	 -0.001 	 0.666 	 0.012 	 0.001 	 -   	 0.017 	 0.016 	 -   	 0.085 	 0.086 	 -   	 0.882 		 0.132 					
06/2000	 0.000 	 0.669 	 -0.001 	 -0.002 	 -   	 0.004 	 -0.029 	 -   	 0.001 	 -0.185 	 -   	 0.457 		 0.011 					
07/2000	 0.001 	 0.452 	 0.005 	 0.001 	 -   	 0.001 	 0.007 	 -   	 -0.002 	 0.001 	 -   	 0.466 		 0.010 					
08/2000	 0.000 	 0.560 	 0.002 	 -0.006 	 0.000 	 0.001 	 0.063 	 -   	 -0.000 	 0.003 	 -   	 0.623 		 0.144 					
09/2000	 -0.000 	 0.133 	 -0.001 	 0.055 	 0.001 	 0.003 	 0.084 	 -   	 0.002 	 0.005 	 -   	 0.283 		 0.010 					
10/2000	 0.001 	 0.188 	 0.003 	 0.000 	 -   	 -0.012 	 0.031 	 -   	 -0.001 	 0.063 	 -   	 0.272 		 0.008 					
11/2000	 0.001 	 0.439 	 -0.003 	 0.002 	 -   	 0.096 	 0.292 	 -   	 0.000 	 0.012 	 -   	 0.839 		 0.368 					
12/2000	 0.003 	 0.028 	 0.001 	 -0.001 	 -   	 0.003 	 0.018 	 -   	 0.000 	 0.021 	 -   	 0.073 		 -0.006 					
01/2001	 -0.000 	 0.014 	 0.001 	 -   	 0.010 	 0.005 	 0.121 	 -   	 0.010 	 -0.002 	 -   	 0.158 		 0.009 					
02/2001	 0.006 	 0.092 	 0.000 	 -   	 0.000 	 0.047 	 0.007 	 -   	 -   	 0.028 	 -   	 0.181 		 0.106 					
03/2001	 0.009 	 0.098 	 0.001 	 -   	 -   	 0.000 	 0.111 	 0.002 	 -   	 0.029 	 -   	 0.249 		 0.045 					
04/2001	 0.007 	 -0.003 	 0.008 	 0.004 	 -   	 0.001 	 0.052 	 0.014 	 -   	 0.090 	 -   	 0.171 		 0.031 
05/2001	 -   	 0.048 	 0.001 	 -0.000 	 -   	 -0.000 	 -0.217 	 -   	 -   	 0.001 	 -   	 -0.167 		 0.003 
06/2001	 -0.001 	 0.047 	 0.001 	 0.000 	 -   	 0.001 	 0.120 	 -   	 -0.004 	 0.010 	 -   	 0.175 		 0.028 
07/2001	 0.000 	 0.225 	 -0.000 	 0.001 	 0.000 	 0.081 	 0.048 	 -   	 -   	 0.002 	 -   	 0.357 		 0.003 
08/2001	 -   	 0.696 	 0.000 	 0.000 	 -   	 0.001 	 -0.007 	 -   	 0.000 	 0.003 	 -   	 0.694 		 0.001 
09/2001	 0.000 	 1.228 	 0.004 	 0.013 	 0.001 	 0.005 	 -0.061 	 -   	 0.000 	 0.003 	 -   	 1.194 		 -0.001 
10/2001	 0.001 	 0.348 	 0.004 	 0.001 	 -   	 0.002 	 0.016 	 -   	 0.000 	 0.017 	 -   	 0.389 		 0.010 
11/2001	 0.001 	 0.329 	 0.010 	 0.000 	 -   	 0.008 	 0.005 	 -   	 0.049 	 2.514 	 -   	 2.917 		 0.136 
12/2001	 0.001 	 0.099 	 0.070 	 -0.000 	 -   	 0.001 	 0.010 	 -   	 0.048 	 0.595 	 -   	 0.823 		 0.000 
01/2002	 0.004 	 0.054 	 0.117 	 0.000 	 -   	 0.004 	 0.027 	 -   	 0.056 	 0.001 	 -   	 0.264 		 0.006 
02/2002	 0.043 	 0.064 	 0.066 	 0.001 	 -   	 0.002 	 0.149 	 -   	 -   	 0.005 	 -   	 0.330 		
03/2002	 0.091 	 0.044 	 -   	 0.003 	 -   	 0.003 	 0.423 	 -   	 -   	 0.020 	 -   	 0.585 		
04/2002	 0.067 	 0.045 	 0.001 	 -0.002 	 -   	 0.007 	 -0.003 	 -   	 0.009 	 0.015 	 -   	 0.140 		
05/2002	 0.009 	 0.406 	 0.009 	 0.003 	 -   	 -   	 -0.077 	 -   	 0.002 	 0.034 	 -   	 0.385 		
06/2002	 -0.004 	 0.005 	 0.002 	 0.002 	 -   	 0.001 	 0.010 	 -   	 -   	 0.031 	 -   	 0.047 		
07/2002	 0.000 	 0.240 	 0.005 	 0.004 	 -   	 0.002 	 0.091 	 -   	 -   	 0.031 	 -   	 0.374 		
08/2002	 0.040 	 0.504 	 -0.001 	 0.003 	 -   	 0.002 	 0.015 	 -   	 -   	 0.034 	 -   	 0.597 		 597,329 
09/2002	 0.003 	 0.064 	 0.000 	 0.083 	 -   	 0.005 	 -0.078 	 0.010 	 -   	 0.015 	 -   	 0.102 		 102,351 
10/2002	 0.006 	 0.328 	 0.002 	 0.040 	 -   	 0.004 	 0.021 	 0.000 	 -0.000 	 -0.076 	 -   	 0.324 		 324,421 
11/2002	 0.001 	 0.446 	 0.002 	 0.026 	 -   	 0.004 	 0.075 	 -   	 0.001 	 0.007 	 -   	 0.562 		 562,414 
12/2002	 -0.001 	 1.674 	 0.003 	 0.297 	 -   	 0.003 	 0.004 	 -   	 -0.000 	 0.003 	 -   	 1.983 		 1,983,183 
01/2003	 0.003 	 0.212 	 -0.001 	 0.001 	 0.001 	 0.004 	 0.016 	 -   	 -   	 0.025 	 0.033 	 0.294 		 293,768 
02/2003	 0.002 	 0.098 	 0.018 	 -   	 -   	 0.003 	 0.031 	 -0.000 	 -   	 0.002 	 0.000 	 0.155 		 154,749 
03/2003	 0.002 	 0.052 	 -   	 0.000 	 -   	 -0.001 	 0.006 	 -   	 0.000 	 0.024 	 0.075 	 0.157 		 157,377 
04/2003	 0.001 	 0.067 	 -0.000 	 -0.005 	 -   	 0.005 	 0.029 	 -   	 -0.000 	 0.001 	 0.031 	 0.127 		 127,319 
05/2003	 -   	 0.087 	 0.001 	 -0.000 	 -   	 0.002 	 0.011 	 0.021 	 -0.000 	 0.002 	 0.008 	 0.130 		 130,209 
06/2003	 0.000 	 0.110 	 0.001 	 0.021 	 -   	 0.001 	 -0.000 	 0.003 	 -   	 0.015 	 0.004 	 0.155 		 154,553 
07/2003	 0.002 	 0.056 	 -   	 -0.000 	 -   	 -0.000 	 0.009 	 -0.000 	 0.000 	 0.000 	 0.017 	 0.083 		 83,282 
08/2003	 0.001 	 0.066 	 -   	 -0.001 	 -   	 0.003 	 0.027 	 -0.000 	 0.000 	 0.007 	 0.003 	 0.106 		 105,779 
09/2003	 0.008 	 1.462 	 0.002 	 -0.003 	 -   	 0.001 	 0.010 	 -0.000 	 0.000 	 0.140 	 0.035 	 1.655 		 1,654,774 
10/2003	 0.000 	 0.649 	 -0.002 	 0.003 	 -   	 0.002 	 0.214 	 -   	 -   	 0.004 	 0.002 	 0.872 		 872,099 
11/2003	 0.003 	 0.539 	 0.001 	 0.003 	 -   	 0.001 	 0.121 	 -   	 0.000 	 0.193 	 0.004 	 0.864 		 864,220 
12/2003	 -   	 0.265 	 -0.001 	 0.000 	 -   	 0.004 	 -0.027 	 -   	 -0.007 	 0.010 	 0.002 	 0.247 		 247,072 
01/2004	 0.003 	 0.051 	 0.001 	 0.001 	 0.000 	 0.009 	 0.244 	 0.000 	 0.010 	 -0.001 	 0.024 	 0.345 		 344,924 
02/2004	 0.017 	 0.157 	 0.197 	 0.002 	 0.000 	 0.001 	 0.005 	 -0.000 	 -0.000 	 -0.004 	 0.008 	 0.383 		 383,029 
03/2004	 -0.001 	 0.335 	 0.005 	 0.000 	 0.001 	 0.000 	 0.023 	 0.000 	 -0.003 	 0.109 	 0.003 	 0.474 		 474,096 
04/2004	 -0.000 	 0.016 	 0.001 	 0.000 	 -   	 0.001 	 0.261 	 0.000 	 -   	 0.002 	 0.013 	 0.294 		 293,800 
05/2004	 -   	 0.091 	 0.001 	 0.003 	 -   	 0.000 	 0.019 	 0.000 	 0.000 	 0.006 	 0.004 	 0.124 		 124,078 
06/2004	 -0.000 	 0.038 	 0.000 	 -0.001 	 -   	 0.000 	 0.007 	 0.000 	 -0.001 	 0.239 	 0.004 	 0.287 		 286,897 
07/2004	 0.001 	 0.053 	 0.000 	 0.001 	 0.000 	 -0.000 	 0.107 	 0.000 	 -   	 0.006 	 0.008 	 0.177 		 176,844 
08/2004	 0.001 	 0.075 	 0.001 	 0.001 	 0.000 	 0.001 	 0.081 	 0.000 	 0.001 	 0.008 	 0.041 	 0.210 		 209,628 
09/2004	 0.001 	 0.657 	 -   	 0.001 	 -   	 0.000 	 -0.003 	 0.000 	 0.000 	 0.001 	 0.005 	 0.663 		 663,428 
10/2004	 0.001 	 0.099 	 0.002 	 0.009 	 -   	 0.001 	 0.004 	 -0.000 	 0.001 	 0.002 	 0.002 	 0.119 		 119,080 
11/2004	 0.002 	 0.037 	 -0.000 	 -0.000 	 0.000 	 -0.000 	 0.274 	 0.000 	 0.013 	 0.033 	 0.004 	 0.361 		 360,955 
12/2004	 0.000 	 0.053 	 0.004 	 0.011 	 -   	 0.010 	 0.008 	 0.000 	 0.080 	 0.043 	 0.151 	 0.361 		 360,803 
01/2005	 0.001 	 0.099 	 0.002 	 0.009 	 -   	 0.001 	 0.004 	 -0.000 	 0.001 	 0.002 	 0.002 	 0.119 		 119,080 
02/2005	 0.012 	 0.091 	 0.010 	 0.015 	 -   	 0.006 	 0.006 	 -   	 -0.000 	 0.008 	 0.055 	 0.201 		 201,324 
03/2005	 0.009 	 0.116 	 0.005 	 0.006 	 0.005 	 0.005 	 -0.004 	 0.000 	 -   	 -0.005 	 0.006 	 0.143 		 142,945 
04/2005	 -0.000 	 0.044 	 0.005 	 -0.000 	 -   	 0.000 	 0.004 	 -   	 -0.002 	 -0.001 	 0.002 	 0.051 		 50,997 
05/2005	 0.014 	 0.054 	 -0.000 	 0.001 	 -   	 0.002 	 0.003 	 -   	 -   	 0.001 	 0.035 	 0.109 		 108,956 
06/2005	 0.014 	 0.475 	 0.002 	 0.000 	 0.001 	 0.001 	 0.002 	 -   	 -0.000 	 0.002 	 0.002 	 0.500 		 499,904 
07/2005	 -0.000 	 0.136 	 0.001 	 0.002 	 -   	 0.000 	 0.005 	 -0.000 	 -0.000 	 0.004 	 0.027 	 0.174 		 174,265 
08/2005	 0.001 	 0.048 	 0.004 	 0.001 	 -   	 0.004 	 0.010 	 -   	 0.000 	 -0.001 	 0.019 	 0.085 		 84,660 
09/2005	 0.000 	 0.062 	 0.010 	 0.000 	 0.000 	 0.002 	 0.006 	 -   	 0.000 	 0.002 	 0.006 	 0.089 		 89,264 
