Edesa/Gume	Cafayate	Capital	Güemes	J V González	La Candelaria	Metán	Orán	S A Cobres	Aislados	Tartagal	Valle de Lerma	Total		 MWh s/DTE 					
01/1996	 -   	 0.025 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.025 		 -   					
02/1996	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   		 -   					
03/1996	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   		 -   					
04/1996	 -   	 0.021 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.021 		 -   					
05/1996	 -   	 0.022 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.022 		 -   					
06/1996	 -   	 0.021 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.021 		 -   					
07/1996	 -   	 0.027 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.027 		 -   					
08/1996	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   		 -   					
09/1996	 -   	 0.009 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.009 		 -   					
10/1996	 -   	 0.020 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.020 		 -   					
11/1996	 -   	 0.140 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.140 		 -   					
12/1996	 -   	 0.330 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.330 		 -   					
01/1997	 -   	 0.518 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.518 		 -   					
02/1997	 -   	 0.145 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.145 		 -   					
03/1997	 -   	 0.158 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.158 		 -   					
04/1997	 -   	 0.163 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.163 		 -   
05/1997	 -   	 0.151 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.151 		 -   
