Edesal/MEM	San Luis	V. Merc,/J.D	La Toma	Merlo	Quines	Fortuna	Total		S.A.D.I.
01/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   		
02/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   		
03/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   		
04/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   		
05/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   		
06/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   		
07/1997	 28.639 	 23.258 	 3.882 	 3.287 	 -   	 -   	 59.066 		 62.038 
08/1997	 27.427 	 22.723 	 3.849 	 2.920 	 -   	 -   	 56.919 		 59.721 
09/1997	 26.492 	 22.069 	 3.565 	 2.839 	 -   	 -   	 54.964 		 57.907 
10/1997	 27.411 	 22.563 	 3.963 	 2.728 	 -   	 -   	 56.665 		 59.651 
11/1997	 26.592 	 20.959 	 3.289 	 2.848 	 -   	 -   	 53.689 		 56.851 
12/1997	 25.674 	 21.107 	 3.457 	 2.669 	 -   	 -   	 52.907 		 55.810 
01/1998	 27.246 	 21.546 	 3.951 	 2.782 	 -   	 -   	 55.526 		 58.550 
02/1998	 24.631 	 20.297 	 3.995 	 2.187 	 -   	 -   	 51.110 		 53.839 
03/1998	 28.383 	 23.373 	 4.522 	 2.828 	 -   	 -   	 59.106 		 61.600 
04/1998	 26.726 	 21.902 	 3.840 	 2.615 	 -   	 -   	 55.083 		 59.657 
05/1998	 28.985 	 23.694 	 4.009 	 2.448 	 -   	 -   	 59.136 		 61.797 
06/1998	 30.079 	 24.478 	 3.959 	 2.332 	 -   	 -   	 60.848 		 63.750 
07/1998	 31.273 	 24.876 	 3.522 	 3.308 	 -   	 -   	 62.980 		 65.929 
08/1998	 31.346 	 24.832 	 3.469 	 3.068 	 -   	 -   	 62.715 		 66.013 
09/1998	 30.472 	 24.443 	 3.252 	 3.907 	 -   	 -   	 62.075 		 64.454 
10/1998	 29.463 	 23.047 	 3.218 	 4.379 	 -   	 -   	 60.107 		 63.683 
11/1998	 29.811 	 22.451 	 3.230 	 3.368 	 -   	 -   	 58.860 		 61.958 
12/1998	 30.033 	 22.260 	 3.066 	 3.813 	 -   	 -   	 59.172 		 61.071 
01/1999	 29.582 	 21.219 	 3.076 	 4.041 	 -   	 -   	 57.918 		 59.451 
02/1999	 30.331 	 21.738 	 2.968 	 4.174 	 -   	 -   	 59.211 		 60.649 
03/1999	 32.559 	 23.912 	 3.342 	 3.492 	 -   	 -   	 63.305 		 64.492 
04/1999	 30.735 	 22.933 	 3.346 	 3.565 	 -   	 -   	 60.579 		 61.418 
05/1999	 32.644 	 23.087 	 3.385 	 3.573 	 -   	 -   	 62.689 		 64.134 
06/1999	 33.506 	 23.013 	 3.656 	 3.866 	 -   	 -   	 64.041 		 65.912 
07/1999	 34.506 	 24.877 	 3.715 	 4.071 	 -   	 -   	 67.169 		 68.785 
08/1999	 33.430 	 24.246 	 3.489 	 3.751 	 -   	 -   	 64.916 		 66.603 					
09/1999	 33.009 	 23.716 	 3.497 	 3.668 	 -   	 -   	 63.889 		 64.603 					
10/1999	 34.723 	 23.200 	 3.241 	 4.309 	 -   	 -   	 65.473 		 67.982 					
11/1999	 33.993 	 23.595 	 3.435 	 4.049 	 -   	 -   	 65.072 		 66.899 					
12/1999	 34.994 	 22.479 	 3.418 	 3.507 	 -   	 -   	 64.398 		 66.174 					
01/2000	 34.605 	 23.072 	 3.514 	 3.880 	 -   	 -   	 65.071 		 66.886 					
02/2000	 35.457 	 23.031 	 3.371 	 3.743 	 -   	 -   	 65.602 		 66.667 					
03/2000	 36.235 	 25.709 	 2.961 	 3.788 	 -   	 -   	 68.694 		 70.058 					
04/2000	 32.958 	 23.972 	 3.362 	 3.456 	 -   	 -   	 63.749 		 65.023 					
05/2000	 34.114 	 26.389 	 3.787 	 4.084 	 -   	 -   	 68.374 		 70.548 					
06/2000	 34.655 	 26.171 	 3.895 	 3.760 	 -   	 -   	 68.482 		 70.451 					
07/2000	 34.417 	 27.517 	 4.139 	 4.292 	 -   	 -   	 70.365 		 72.750 					
08/2000	 33.825 	 27.207 	 4.041 	 4.239 	 -   	 -   	 69.311 		 71.070 					
09/2000	 34.930 	 25.838 	 3.936 	 4.243 	 -   	 -   	 68.947 		 70.812 					
10/2000	 35.961 	 25.039 	 3.778 	 4.533 	 -   	 -   	 69.311 		 71.391 					
11/2000	 34.951 	 25.051 	 3.806 	 4.261 	 -   	 -   	 68.069 		 69.781 					
12/2000	 36.046 	 25.200 	 3.696 	 4.639 	 -   	 -   	 69.581 		 71.750 
01/2001	 38.174 	 25.452 	 3.658 	 5.248 	 -   	 -   	 72.532 		 74.771 
02/2001	 38.451 	 26.434 	 3.515 	 4.429 	 -   	 -   	 72.829 		 74.425 
03/2001	 38.535 	 27.346 	 4.494 	 4.537 	 -   	 -   	 74.912 		 77.070 
04/2001	 34.215 	 24.191 	 3.907 	 3.892 	 -   	 -   	 66.204 		 68.386 
05/2001	 36.481 	 26.604 	 4.185 	 4.291 	 -   	 -   	 71.560 		 74.752 
06/2001	 35.215 	 27.024 	 4.127 	 3.714 	 -   	 -   	 70.079 		 72.963 
07/2001	 35.425 	 26.500 	 4.250 	 4.050 	 -   	 -   	 70.225 		 73.624 
08/2001	 37.210 	 27.586 	 4.210 	 3.866 	 -   	 -   	 72.873 		 74.330 
09/2001	 34.093 	 26.683 	 3.817 	 4.410 	 -   	 -   	 69.002 		 70.950 
10/2001	 34.725 	 26.040 	 3.526 	 4.661 	 -   	 -   	 68.953 		 70.238 
11/2001	 33.714 	 23.928 	 3.564 	 5.137 	 -   	 -   	 66.343 		 70.168 
