Edesal/Frontera	San Luis	V. Merc,/J.D	La Toma	Merlo	Quines	Fortuna	Total							
01/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
02/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
03/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
04/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
05/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
06/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
07/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
08/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
09/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
10/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
11/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
12/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
01/1998	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
02/1998	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
03/1998	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
04/1998	 -   	 -   	 -   	 -   	 -   	 -   	 -   
05/1998	 -   	 -   	 -   	 -   	 -   	 -   	 -   
06/1998	 -   	 -   	 -   	 -   	 -   	 -   	 -   
07/1998	 -   	 -   	 -   	 -   	 -   	 -   	 -   
08/1998	 -   	 -   	 -   	 -   	 -   	 -   	 -   
09/1998	 -   	 -   	 -   	 -   	 -   	 -   	 -   
10/1998	 -   	 -   	 -   	 -   	 -   	 -   	 -   
11/1998	 -   	 -   	 -   	 -   	 -   	 -   	 -   
12/1998	 -   	 -   	 -   	 -   	 -   	 -   	 -   
01/1999	 -   	 -   	 -   	 -   	 -   	 -   	 -   
02/1999	 -   	 -   	 -   	 -   	 -   	 -   	 -   
03/1999	 -   	 -   	 -   	 -   	 -   	 -   	 -   
04/1999	 -   	 -   	 -   	 -   	 -   	 -   	 -   
05/1999	 -   	 -   	 -   	 -   	 -   	 -   	 -   
06/1999	 -   	 -   	 -   	 -   	 -   	 -   	 -   
07/1999	 -   	 -   	 -   	 -   	 -   	 -   	 -   
08/1999	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
09/1999	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
10/1999	 -   	 -   	 -   	 -   	 -   	 -   	 -   						 0.050 	 0.050 
11/1999	 -   	 -   	 -   	 -   	 -   	 -   	 -   						 0.050 	 0.050 
12/1999	 -   	 -   	 -   	 -   	 -   	 -   	 -   						 0.050 	 0.050 
01/2000	 -   	 -   	 -   	 -   	 -   	 -   	 -   						 0.050 	 0.050 
02/2000	 -   	 -   	 -   	 -   	 -   	 -   	 -   						 0.050 	 0.050 
03/2000	 -   	 -   	 -   	 -   	 -   	 -   	 -   						 0.050 	 0.050 
04/2000	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
05/2000	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
06/2000	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
07/2000	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
08/2000	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
09/2000	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
10/2000	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
11/2000	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
12/2000	 -   	 -   	 -   	 -   	 -   	 -   	 -   
01/2001	 -   	 -   	 -   	 -   	 -   	 -   	 -   
02/2001	 -   	 -   	 -   	 -   	 -   	 -   	 -   
03/2001	 -   	 -   	 -   	 -   	 -   	 -   	 -   
04/2001	 -   	 -   	 -   	 -   	 -   	 -   	
05/2001	 -   	 -   	 -   	 -   	 -   	 -   	
06/2001	 -   	 -   	 -   	 -   	 -   	 -   	
07/2001	 -   	 -   	 -   	 -   	 -   	 -   	
08/2001	 -   	 -   	 -   	 -   	 -   	 -   	
09/2001	 -   	 -   	 -   	 -   	 -   	 -   	
10/2001	 -   	 -   	 -   	 -   	 -   	 -   	
11/2001	 -   	 -   	 -   	 -   	 -   	 -   	
12/2001	 -   	 -   	 -   	 -   	 -   	 -   	 -   
01/2002	 -   	 -   	 -   	 -   	 -   	 -   	 -   
02/2002	 -   	 -   	 -   	 -   	 -   	 -   	 -   
03/2002	 -   	 -   	 -   	 -   	 -   	 -   	 -   
04/2002	 -   	 -   	 -   	 -   	 -   	 -   	 -   
05/2002	 -0.391 	 0.086 	 -0.067 	 0.372 	 -   	 -   	 0.000 
06/2002	 -0.634 	 0.240 	 -0.062 	 0.456 	 -   	 -   	 0.000 
07/2002	 -0.691 	 0.235 	 -0.072 	 0.528 	 -   	 -   	 -   
08/2002	 -0.566 	 0.211 	 -0.053 	 0.408 	 -   	 -   	 0.000 
09/2002	 -0.660 	 0.202 	 -0.010 	 0.468 	 -   	 -   	 -   
10/2002	 -0.568 	 0.202 	 -0.060 	 0.426 	 -   	 -   	 -   
11/2002	 -0.484 	 0.216 	 -0.194 	 0.462 	 -   	 -   	 -0.000 
12/2002	 -0.708 	 0.197 	 -0.053 	 0.564 	 -   	 -   	 -   
01/2003	 -0.548 	 0.206 	 -0.108 	 0.450 	 -   	 -   	 0.000 
02/2003	 -0.701 	 0.211 	 -0.086 	 0.576 	 -   	 -   	 -   
03/2003	 -0.634 	 0.254 	 -0.065 	 0.444 	 -   	 -   	 -0.000 
04/2003	 -0.761 	 0.394 	 -0.065 	 0.432 	 -   	 -   	 -0.000 
05/2003	 -0.949 	 0.504 	 -0.065 	 0.510 	 -   	 -   	 -   
06/2003	 -0.701 	 0.442 	 -0.077 	 0.336 	 -   	 -   	 0.000 
