Edesal/Distribuidora	San Luis	V. Merc,/J.D	La Toma	Merlo	Quines	Fortuna	Total							
01/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
02/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
03/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
04/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
05/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
06/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
07/1997	 19.245 	 10.490 	 1.984 	 2.338 	 -   	 0.690 	 34.747 							
08/1997	 18.605 	 11.045 	 1.936 	 2.413 	 -   	 0.677 	 34.675 							
09/1997	 19.467 	 11.363 	 2.343 	 3.448 	 -   	 0.905 	 37.526 							
10/1997	 18.151 	 10.934 	 1.885 	 2.107 	 -   	 0.572 	 33.648 							
11/1997	 17.468 	 10.162 	 1.775 	 2.096 	 -   	 0.581 	 32.082 							
12/1997	 17.411 	 10.422 	 1.624 	 3.366 	 -   	 0.593 	 33.416 							
01/1998	 18.916 	 11.411 	 1.808 	 2.956 	 -   	 0.623 	 35.714 							
02/1998	 17.948 	 10.460 	 1.544 	 3.127 	 -   	 0.554 	 33.633 							
03/1998	 19.096 	 10.451 	 1.941 	 2.901 	 -   	 0.776 	 35.166 							
04/1998	 19.046 	 10.757 	 1.646 	 2.931 	 -   	 0.695 	 35.075 
05/1998	 20.375 	 11.508 	 1.658 	 2.753 	 -   	 0.657 	 36.950 
06/1998	 20.213 	 11.487 	 1.679 	 2.770 	 -   	 0.622 	 36.772 
07/1998	 21.562 	 11.544 	 1.908 	 2.726 	 -   	 0.720 	 38.460 
08/1998	 20.097 	 11.093 	 2.110 	 2.801 	 -   	 0.813 	 36.914 
09/1998	 19.351 	 10.731 	 1.950 	 2.815 	 -   	 0.705 	 35.551 
10/1998	 19.440 	 10.781 	 1.857 	 3.029 	 -   	 0.620 	 35.728 
11/1998	 19.308 	 10.674 	 1.851 	 2.819 	 -   	 0.579 	 35.232 
12/1998	 19.458 	 11.035 	 1.800 	 2.867 	 -   	 0.633 	 35.793 
01/1999	 19.040 	 11.301 	 1.817 	 3.023 	 -   	 0.700 	 35.881 
02/1999	 19.462 	 10.502 	 1.801 	 2.918 	 -   	 0.724 	 35.407 
03/1999	 21.261 	 11.693 	 1.961 	 2.874 	 -   	 0.786 	 38.575 
04/1999	 20.023 	 10.797 	 1.896 	 2.630 	 -   	 0.615 	 35.961 
05/1999	 21.071 	 11.937 	 2.034 	 2.743 	 -   	 0.671 	 38.456 
06/1999	 21.433 	 12.210 	 2.047 	 2.811 	 -   	 0.706 	 39.207 
07/1999	 21.483 	 12.627 	 2.213 	 3.006 	 -   	 0.770 	 40.099 
08/1999	 22.153 	 12.548 	 2.233 	 2.937 	 -   	 0.850 	 40.722 							
09/1999	 21.350 	 11.852 	 2.064 	 2.890 	 -   	 0.731 	 38.887 							
10/1999	 22.807 	 12.269 	 1.940 	 3.079 	 -   	 0.637 	 40.732 							
11/1999	 22.572 	 12.298 	 1.894 	 2.678 	 -   	 0.647 	 40.089 							
12/1999	 23.035 	 12.619 	 1.902 	 2.833 	 -   	 0.671 	 41.060 							
01/2000	 23.207 	 12.411 	 2.074 	 3.220 	 -   	 0.705 	 41.617 							
02/2000	 22.865 	 12.567 	 2.076 	 2.939 	 -   	 0.701 	 41.148 							
03/2000	 23.602 	 13.021 	 2.083 	 2.868 	 -   	 0.707 	 42.280 							
04/2000	 22.960 	 12.624 	 1.963 	 2.753 	 -   	 0.636 	 40.936 							
05/2000	 23.647 	 13.778 	 2.190 	 2.909 	 -   	 0.718 	 43.242 							
06/2000	 23.717 	 13.448 	 2.224 	 2.955 	 -   	 0.685 	 43.028 							
07/2000	 24.946 	 14.119 	 2.447 	 3.195 	 -   	 0.774 	 45.481 							
08/2000	 24.768 	 14.223 	 2.479 	 3.377 	 -   	 0.892 	 45.740 							
09/2000	 23.830 	 13.743 	 2.236 	 3.465 	 -   	 0.789 	 44.063 							
10/2000	 24.857 	 13.931 	 2.108 	 3.652 	 -   	 0.695 	 45.244 							
11/2000	 24.015 	 13.739 	 2.063 	 3.447 	 -   	 0.665 	 43.930 							
12/2000	 25.927 	 14.729 	 2.122 	 3.939 	 -   	 0.718 	 47.436 
01/2001	 27.186 	 14.396 	 2.154 	 4.195 	 -   	 0.735 	 48.665 
02/2001	 27.382 	 14.013 	 2.245 	 3.778 	 -   	 0.818 	 48.237 
03/2001	 28.282 	 15.681 	 2.474 	 3.587 	 -   	 1.001 	 51.024 
04/2001	 25.258 	 13.868 	 2.162 	 3.061 	 -   	 0.715 	 45.064 
05/2001	 25.985 	 14.978 	 2.423 	 3.286 	 -   	 0.811 	 47.483 
06/2001	 25.317 	 14.511 	 2.334 	 3.165 	 -   	 0.828 	 46.155 
07/2001	 25.622 	 14.961 	 2.548 	 3.507 	 -   	 0.853 	 47.491 
08/2001	 26.110 	 14.862 	 2.647 	 3.661 	 -   	 0.915 	 48.194 
09/2001	 25.215 	 14.266 	 2.461 	 4.123 	 -   	 1.004 	 47.069 
10/2001	 24.630 	 15.365 	 2.231 	 3.765 	 -   	 0.851 	 46.841 
11/2001	 24.498 	 14.545 	 2.168 	 4.280 	 -   	 0.792 	 46.282 
12/2001	 26.959 	 14.354 	 2.216 	 5.062 	 -   	 0.818 	 49.409 
01/2002	 22.833 	 14.555 	 2.123 	 4.774 	 -   	 0.819 	 45.104 
02/2002	 21.036 	 13.324 	 1.925 	 3.538 	 -   	 0.702 	 40.525 
03/2002	 25.283 	 13.837 	 2.285 	 3.698 	 -   	 0.803 	 45.906 
