Edesal/Recuperos	San Luis	V. Merc,/J.D	La Toma	Merlo	Quines	Fortuna	Total							
01/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
02/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
03/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
04/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
05/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
06/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
07/1997	 0.168 	 0.088 	 -   	 -   	 -   	 -   	 0.257 							
08/1997	 0.352 	 0.131 	 -   	 -   	 -   	 -   	 0.484 							
09/1997	 0.123 	 0.120 	 -   	 -   	 -   	 -   	 0.243 							
10/1997	 0.088 	 0.224 	 -   	 -   	 -   	 -   	 0.313 							
11/1997	 0.293 	 0.117 	 -   	 -   	 -   	 -   	 0.409 							
12/1997	 0.098 	 0.172 	 -   	 -   	 -   	 -   	 0.270 							
01/1998	 0.158 	 0.151 	 -   	 -   	 -   	 -   	 0.310 							
02/1998	 0.076 	 0.134 	 -   	 -   	 -   	 -   	 0.209 							
03/1998	 0.051 	 0.063 	 -   	 -   	 -   	 -   	 0.114 							
04/1998	 0.126 	 0.129 	 -   	 -   	 -   	 -   	 0.255 
05/1998	 0.201 	 0.077 	 -   	 -   	 -   	 -   	 0.277 
06/1998	 0.026 	 0.152 	 -   	 -   	 -   	 -   	 0.178 
07/1998	 0.057 	 0.117 	 -   	 -   	 -   	 -   	 0.173 
08/1998	 0.311 	 0.266 	 -   	 -   	 -   	 -   	 0.577 
09/1998	 0.266 	 0.093 	 -   	 -   	 -   	 -   	 0.359 
10/1998	 0.072 	 0.301 	 -   	 -   	 -   	 -   	 0.373 
11/1998	 0.055 	 0.126 	 -   	 -   	 -   	 -   	 0.181 
12/1998	 0.109 	 0.144 	 -   	 -   	 -   	 -   	 0.253 
01/1999	 0.111 	 0.049 	 -   	 -   	 -   	 -   	 0.161 
02/1999	 0.073 	 0.060 	 -   	 -   	 -   	 -   	 0.133 
03/1999	 0.297 	 0.124 	 -   	 -   	 -   	 -   	 0.422 
04/1999	 0.272 	 0.244 	 -   	 -   	 -   	 -   	 0.517 
05/1999	 0.148 	 0.176 	 -   	 -   	 -   	 -   	 0.323 
06/1999	 0.131 	 0.475 	 -   	 -   	 -   	 -   	 0.606 
07/1999	 0.079 	 0.077 	 -   	 -   	 -   	 -   	 0.156 
08/1999	 0.013 	 0.133 	 -   	 -   	 -   	 -   	 0.146 							
09/1999	 0.135 	 0.125 	 -   	 -   	 -   	 -   	 0.260 							
10/1999	 0.043 	 0.084 	 -   	 -   	 -   	 -   	 0.126 							
11/1999	 0.022 	 0.322 	 -   	 -   	 -   	 -   	 0.344 		 0.043 	 0.084 	 -   	 -   	 -   	 0.126 
12/1999	 0.035 	 0.030 	 -   	 -   	 -   	 -   	 0.066 		 0.043 	 0.084 	 -   	 -   	 -   	 0.126 
01/2000	 0.568 	 0.035 	 -   	 -   	 -   	 -   	 0.603 							
02/2000	 0.470 	 0.088 	 -   	 -   	 -   	 -   	 0.557 							
03/2000	 0.185 	 0.149 	 -   	 -   	 -   	 -   	 0.334 							
04/2000	 0.122 	 0.124 	 -   	 -   	 -   	 -   	 0.245 							
05/2000	 0.523 	 0.244 	 -   	 -   	 -   	 -   	 0.767 							
06/2000	 0.077 	 0.094 	 -   	 -   	 -   	 -   	 0.172 							
07/2000	 0.134 	 0.113 	 -   	 -   	 -   	 -   	 0.247 							
08/2000	 0.109 	 0.551 	 -   	 -   	 -   	 -   	 0.659 							
09/2000	 0.272 	 0.266 	 -   	 -   	 -   	 -   	 0.538 							
10/2000	 0.825 	 0.070 	 -   	 -   	 -   	 -   	 0.895 							
11/2000	 0.465 	 0.107 	 -   	 -   	 -   	 -   	 0.572 							
12/2000	 0.723 	 0.155 	 -   	 -   	 -   	 -   	 0.878 
01/2001	 0.079 	 0.055 	 -   	 -   	 -   	 -   	 0.134 
02/2001	 0.071 	 0.057 	 -   	 -   	 -   	 -   	 0.128 
03/2001	 0.100 	 0.100 	 -   	 -   	 -   	 -   	 0.200 
04/2001	 0.122 	 0.047 	 -   	 -   	 -   	 -   	 0.168 
05/2001	 0.042 	 0.279 	 -   	 0.000 	 -   	 -   	 0.320 
06/2001	 0.029 	 0.027 	 -   	 0.002 	 -   	 -   	 0.059 
07/2001	 0.026 	 0.028 	 0.000 	 0.002 	 -   	 -   	 0.057 
08/2001	 0.233 	 0.176 	 0.002 	 0.000 	 -   	 -   	 0.410 
09/2001	 0.253 	 0.028 	 0.013 	 0.003 	 -   	 -   	 0.297 
10/2001	 0.018 	 5.405 	 -   	 0.001 	 -   	 -   	 5.424 
11/2001	 0.035 	 0.119 	 -   	 0.000 	 -   	 0.005 	 0.160 
12/2001	 0.010 	 0.089 	 0.000 	 0.000 	 -   	 0.000 	 0.099 
01/2002	 0.052 	 0.124 	 0.000 	 0.007 	 -   	 -   	 0.183 
02/2002	 0.081 	 0.109 	 -   	 0.000 	 -   	 0.000 	 0.191 
03/2002	 0.282 	 0.102 	 -0.000 	 0.009 	 -   	 -   	 0.392 
04/2002	 0.094 	 0.302 	 0.000 	 0.008 	 -   	 -   	 0.404 		
05/2002	 0.032 	 0.107 	 0.000 	 0.002 	 -   	 0.009 	 0.150 		
06/2002	 0.228 	 0.022 	 0.000 	 0.003 	 -   	 0.013 	 0.266 		
07/2002	 0.361 	 0.069 	 0.000 	 0.023 	 -   	 -   	 0.453 		
08/2002	 0.161 	 0.047 	 0.003 	 0.007 	 -   	 -   	 0.218 		
09/2002	 0.144 	 0.048 	 0.002 	 0.068 	 -   	 0.003 	 0.265 		
10/2002	 0.201 	 0.049 	 0.000 	 0.078 	 -   	 0.031 	 0.359 		
11/2002	 1.552 	 0.065 	 0.000 	 0.063 	 -   	 0.003 	 1.683 		
12/2002	 0.202 	 -0.016 	 -0.033 	 -0.053 	 -   	 -0.003 	 0.097 		
01/2003	 0.018 	 0.036 	 -0.040 	 0.022 	 -   	 -   	 0.035 	 35,401 	
02/2003	 0.069 	 0.045 	 0.004 	 0.024 	 -   	 -   	 0.142 	 142,011 	
03/2003	 0.179 	 0.162 	 0.001 	 0.001 	 -   	 -0.000 	 0.344 	 343,750 	
04/2003	 0.087 	 0.092 	 0.001 	 0.014 	 -   	 -   	 0.195 	 194,711 	
05/2003	 0.135 	 0.056 	 0.014 	 0.080 	 -   	 0.008 	 0.294 	 294,052 	
06/2003	 0.142 	 0.075 	 0.001 	 0.011 	 -   	 0.001 	 0.229 	 229,475 	
07/2003	 0.048 	 0.058 	 0.001 	 0.011 	 -   	 0.002 	 0.120 	 119,907 	
08/2003	 0.196 	 0.148 	 0.001 	 0.155 	 -   	 0.002 	 0.501 	 501,251 
09/2003	 0.142 	 0.120 	 0.001 	 0.349 	 -   	 0.005 	 0.617 	 616,931 
10/2003	 0.658 	 0.190 	 0.001 	 0.007 	 -   	 0.001 	 0.856 	 856,297 
11/2003	 0.154 	 0.187 	 0.005 	 -0.018 	 -   	 -0.001 	 0.327 	 326,851 
12/2003	 0.127 	 0.124 	 0.044 	 0.445 	 -   	 0.000 	 0.741 	 740,937 
01/2004	 0.038 	 0.040 	 0.000 	 -0.018 	 0.001 	 0.004 	 0.065 	 65,424 
02/2004	 0.280 	 0.019 	 0.001 	 -0.030 	 0.005 	 0.001 	 0.275 	 275,173 
03/2004	 0.157 	 0.050 	 0.001 	 -0.026 	 0.032 	 0.001 	 0.215 	 215,112 
04/2004	 0.107 	 0.067 	 0.001 	 0.038 	 0.002 	 -   	 0.215 	 214,819 
05/2004	 0.099 	 0.045 	 0.001 	 -0.012 	 0.010 	 0.001 	 0.144 	 144,089 
06/2004	 0.065 	 0.034 	 0.001 	 -0.014 	 -   	 0.000 	 0.086 	 85,803 
07/2004	 0.142 	 0.091 	 0.001 	 -0.001 	 0.001 	 -   	 0.234 	 234,113 
08/2004	 0.165 	 0.031 	 0.001 	 -0.026 	 0.002 	 0.002 	 0.174 	 174,194 
09/2004	 0.033 	 0.185 	 0.078 	 0.001 	 0.000 	 0.002 	 0.299 	 299,198 
10/2004	 0.084 	 0.020 	 -   	 -0.023 	 0.000 	 0.007 	 0.088 	 88,116 
11/2004	 0.240 	 -0.002 	 -0.078 	 -0.019 	 0.005 	 0.006 	 0.152 	 152,205 
12/2004	 0.551 	 0.017 	 0.000 	 -0.010 	 0.005 	 -   	 0.563 	 562,678 
01/2005	 0.153 	 0.012 	 -   	 -0.135 	 -0.001 	 0.000 	 0.029 	 29,189 
02/2005	 0.144 	 0.097 	 0.002 	 -0.170 	 0.003 	 -   	 0.075 	 75,259 
03/2005	 0.071 	 0.022 	 -   	 -0.028 	 0.007 	 0.000 	 0.072 	 71,601 
04/2005	 0.084 	 0.092 	 0.000 	 -0.006 	 0.001 	 0.001 	 0.172 	 171,670 
05/2005	 0.074 	 0.018 	 -   	 -0.015 	 0.000 	 0.006 	 0.082 	 82,430 
06/2005	 0.078 	 0.009 	 -   	 -0.016 	 0.002 	 0.002 	 0.075 	 74,834 
07/2005	 0.138 	 0.019 	 0.001 	 -0.019 	 0.000 	 -   	 0.139 	 138,943 
08/2005	 0.393 	 0.045 	 0.061 	 -0.022 	 0.102 	 0.000 	 0.579 	 579,123 
09/2005	 0.091 	 0.030 	 -   	 -0.029 	 0.060 	 -   	 0.152 	 152,336 
10/2005	 0.017 	 -0.018 	 0.000 	 -0.017 	 0.006 	 -   	 -0.012 	 -11,863 
11/2005	 0.242 	 0.022 	 -   	 -0.021 	 0.003 	 0.001 	 0.247 	 246,834 
12/2005	 0.026 	 0.007 	 0.013 	 -0.016 	 0.014 	 0.001 	 0.045 	 44,535 
01/2006	 0.109 	 0.168 	 -   	 0.009 	 0.021 	 -   	 0.306 	 305,944 
02/2006	 0.236 	 0.013 	 0.002 	 -0.067 	 0.005 	 0.001 	 0.191 	 190,639 
03/2006	 0.102 	 0.013 	 -   	 -0.040 	 0.004 	 0.002 	 0.082 	 81,708 
04/2006	 0.091 	 0.025 	 -   	 -0.028 	 0.009 	 -   	 0.097 	 96,949 
05/2006	 0.135 	 0.018 	 0.005 	 -0.025 	 0.006 	 0.001 	 0.139 	 138,598 
06/2006	 0.105 	 0.144 	 0.018 	 -0.021 	 -0.000 	 0.001 	 0.246 	 246,436 
07/2006	 0.005 	 0.005 	 0.001 	 -0.015 	 0.000 	 -   	 -0.005 	 -4,754 
08/2006	 0.059 	 0.001 	 -0.005 	 -0.027 	 -   	 -   	 0.027 	 27,287 
09/2006	 0.011 	 0.002 	 0.004 	 0.003 	 0.001 	 -   	 0.022 	 21,632 
10/2006	 0.007 	 0.000 	 0.002 	 0.088 	 0.000 	 -   	 0.098 	 98,213 
11/2006	 0.019 	 0.000 	 0.002 	 -0.026 	 0.010 	 -   	 0.005 	 4,676 
12/2006	 0.034 	 -0.008 	 -   	 -0.022 	 0.003 	 -   	 0.007 	 6,882 
01/2007	 0.060 	 0.038 	 -   	 -   	 -   	 -   	 0.098 	 97,760 
02/2007	 0.050 	 0.001 	 -   	 0.012 	 -   	 -   	 0.063 	 63,065 
03/2007	 0.112 	 0.024 	 0.001 	 0.017 	 0.000 	 -   	 0.153 	 153,321 
04/2007	 -0.005 	 0.009 	 0.005 	 0.017 	 -   	 -   	 0.025 	 24,633 
05/2007	 0.200 	 0.098 	 0.002 	 0.001 	 0.027 	 -   	 0.328 	 328,346 
06/2007	 -0.067 	 0.086 	 -   	 0.001 	 0.001 	 -   	 0.021 	 21,081 
07/2007	 0.006 	 -   	 0.008 	 0.001 	 0.002 	 -   	 0.017 	 17,162 
08/2007	 0.071 	 0.008 	 -   	 0.004 	 -   	 -   	 0.083 	 83,443 
09/2007	 0.000 	 0.014 	 -   	 0.001 	 0.001 	 -   	 0.016 	 16,302 
10/2007	 0.004 	 0.003 	 -   	 0.001 	 0.000 	 -   	 0.007 	 6,915 
