Edesal/Cons Propios	San Luis	V. Merc,/J.D	La Toma	Merlo	Quines	Fortuna	Total							
01/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
02/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
03/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
04/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
05/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
06/1997	 -   	 -   	 -   	 -   	 -   	 -   	 -   							
07/1997	 0.038 	 0.018 	 0.014 	 0.015 	 -   	 0.002 	 0.087 							
08/1997	 0.041 	 0.016 	 0.013 	 0.011 	 -   	 0.002 	 0.083 							
09/1997	 0.034 	 0.014 	 0.010 	 0.008 	 -   	 0.002 	 0.067 							
10/1997	 0.038 	 0.013 	 0.009 	 0.007 	 -   	 0.001 	 0.068 							
11/1997	 0.040 	 0.012 	 0.007 	 0.008 	 -   	 0.001 	 0.069 							
12/1997	 0.046 	 0.012 	 0.008 	 0.009 	 -   	 0.001 	 0.076 							
01/1998	 0.043 	 0.014 	 0.009 	 0.009 	 -   	 0.001 	 0.075 							
02/1998	 0.033 	 0.010 	 0.007 	 0.008 	 -   	 0.002 	 0.060 							
03/1998	 0.036 	 0.013 	 0.009 	 0.008 	 -   	 0.001 	 0.067 							
04/1998	 0.031 	 0.013 	 0.009 	 0.009 	 -   	 0.001 	 0.063 
05/1998	 0.031 	 0.015 	 0.011 	 0.011 	 -   	 0.002 	 0.070 
06/1998	 0.033 	 0.017 	 0.013 	 0.015 	 -   	 0.003 	 0.081 
07/1998	 0.035 	 0.017 	 0.014 	 0.012 	 -   	 0.002 	 0.081 
08/1998	 0.028 	 0.018 	 0.014 	 0.013 	 -   	 0.002 	 0.075 
09/1998	 0.036 	 0.015 	 0.012 	 0.012 	 -   	 0.002 	 0.077 
10/1998	 0.037 	 0.013 	 0.009 	 0.009 	 -   	 0.001 	 0.069 
11/1998	 0.038 	 0.011 	 0.008 	 0.007 	 -   	 0.001 	 0.065 
12/1998	 0.043 	 0.013 	 0.008 	 0.008 	 -   	 0.001 	 0.073 
01/1999	 0.037 	 0.013 	 0.009 	 0.009 	 -   	 0.001 	 0.068 
02/1999	 0.039 	 0.014 	 0.008 	 0.009 	 -   	 0.002 	 0.071 
03/1999	 0.040 	 0.022 	 0.008 	 0.008 	 -   	 0.002 	 0.080 
04/1999	 0.033 	 0.017 	 0.011 	 0.010 	 -   	 0.002 	 0.072 
05/1999	 0.037 	 0.020 	 0.013 	 0.013 	 -   	 0.002 	 0.085 
06/1999	 0.040 	 0.024 	 0.017 	 0.019 	 -   	 0.002 	 0.104 
07/1999	 0.042 	 0.025 	 0.022 	 0.021 	 -   	 0.003 	 0.114 
08/1999	 0.038 	 0.021 	 0.016 	 0.016 	 -   	 0.002 	 0.093 							
09/1999	 0.035 	 0.018 	 0.012 	 0.015 	 -   	 0.002 	 0.082 							
10/1999	 0.036 	 0.021 	 0.012 	 0.014 	 -   	 0.001 	 0.084 							
11/1999	 0.037 	 0.016 	 0.010 	 0.011 	 -   	 0.001 	 0.075 							
12/1999	 0.044 	 0.015 	 0.010 	 0.012 	 -   	 0.001 	 0.082 							
01/2000	 0.052 	 0.015 	 0.011 	 0.013 	 -   	 0.001 	 0.093 							
02/2000	 0.036 	 0.015 	 0.010 	 0.011 	 -   	 0.001 	 0.073 							
03/2000	 0.041 	 0.016 	 0.011 	 0.011 	 -   	 0.001 	 0.079 							
04/2000	 0.038 	 0.017 	 0.012 	 0.012 	 -   	 0.001 	 0.081 							
05/2000	 0.045 	 0.022 	 0.015 	 0.016 	 -   	 0.002 	 0.100 							
06/2000	 0.033 	 0.025 	 0.018 	 0.019 	 -   	 0.002 	 0.096 							
07/2000	 0.039 	 0.028 	 0.019 	 0.023 	 -   	 0.002 	 0.113 							
08/2000	 0.031 	 0.025 	 0.017 	 0.027 	 -   	 0.002 	 0.102 							
09/2000	 0.037 	 0.021 	 0.015 	 0.015 	 -   	 0.002 	 0.089 							
10/2000	 0.034 	 0.017 	 0.011 	 0.013 	 -   	 0.001 	 0.076 							
11/2000	 0.034 	 0.016 	 0.010 	 0.012 	 -   	 0.001 	 0.073 							
12/2000	 0.042 	 0.016 	 0.010 	 0.013 	 -   	 0.001 	 0.082 		
01/2001	 0.046 	 0.038 	 0.009 	 0.019 	 -   	 0.001 	 0.113 		
02/2001	 0.050 	 0.041 	 0.009 	 0.017 	 -   	 0.001 	 0.117 		
03/2001	 0.044 	 0.042 	 0.010 	 0.017 	 -   	 0.001 	 0.114 		
04/2001	 0.037 	 0.036 	 0.010 	 0.015 	 -   	 0.001 	 0.099 		
05/2001	 0.042 	 0.042 	 0.008 	 0.020 	 -   	 0.002 	 0.114 		
06/2001	 0.038 	 0.032 	 0.008 	 0.021 	 -   	 0.002 	 0.102 		
07/2001	 0.042 	 0.032 	 0.009 	 0.024 	 -   	 0.002 	 0.110 		
08/2001	 0.043 	 0.033 	 0.009 	 0.021 	 -   	 0.002 	 0.108 		
09/2001	 0.040 	 0.030 	 0.007 	 0.020 	 -   	 0.002 	 0.098 		
10/2001	 0.038 	 0.031 	 0.006 	 0.019 	 -   	 0.003 	 0.096 		
11/2001	 0.041 	 0.030 	 0.005 	 0.017 	 -   	 0.004 	 0.096 		
12/2001	 0.050 	 0.031 	 0.005 	 0.017 	 -   	 0.004 	 0.107 		
01/2002	 0.036 	 0.009 	 0.004 	 0.011 	 -   	 0.004 	 0.065 		
02/2002	 0.047 	 0.008 	 0.005 	 0.011 	 -   	 0.003 	 0.075 		
03/2002	 0.210 	 0.005 	 0.000 	 -   	 -   	 0.002 	 0.216 		 216,337 
04/2002	 0.226 	 0.004 	 0.000 	 0.000 	 -   	 0.003 	 0.234 		 233,746 	
05/2002	 0.222 	 0.007 	 0.000 	 0.000 	 -   	 0.005 	 0.234 		 234,096 	
06/2002	 0.242 	 0.007 	 0.001 	 0.000 	 -   	 0.006 	 0.256 		 255,631 	
07/2002	 0.303 	 0.007 	 0.001 	 0.000 	 -   	 0.005 	 0.316 		 315,903 	
08/2002	 0.423 	 0.006 	 0.001 	 0.000 	 -   	 0.005 	 0.435 		 434,873 	
09/2002	 0.193 	 0.006 	 0.000 	 0.000 	 -   	 0.003 	 0.203 		 202,675 	
10/2002	 0.269 	 0.005 	 0.000 	 0.000 	 -   	 0.004 	 0.278 		 277,539 	
11/2002	 0.201 	 0.004 	 0.000 	 0.000 	 -   	 0.003 	 0.208 		 208,433 	
12/2002	 0.309 	 0.005 	 0.000 	 0.000 	 -   	 0.003 	 0.317 		 317,322 	
01/2003	 0.344 	 0.000 	 0.000 	 0.000 	 -   	 0.002 	 0.346 		 346,110 	
02/2003	 0.195 	 0.000 	 0.000 	 0.000 	 -   	 0.002 	 0.197 		 197,038 	
03/2003	 0.206 	 0.006 	 0.000 	 0.000 	 -   	 0.002 	 0.214 		 214,185 	
04/2003	 0.214 	 0.006 	 0.000 	 0.000 	 -   	 0.002 	 0.222 		 221,820 	
05/2003	 0.252 	 0.006 	 0.001 	 0.000 	 -   	 0.002 	 0.261 		 261,329 	
06/2003	 0.241 	 0.007 	 0.001 	 0.000 	 -   	 0.003 	 0.253 		 252,705 	
07/2003	 0.282 	 0.007 	 0.002 	 0.000 	 -   	 0.003 	 0.295 		 294,739 	
08/2003	 0.275 	 0.007 	 0.002 	 0.000 	 -   	 0.003 	 0.288 		 287,732 	
09/2003	 0.225 	 0.006 	 0.000 	 0.000 	 -   	 0.003 	 0.235 		 234,835 	
10/2003	 0.224 	 0.008 	 0.000 	 0.000 	 -   	 0.002 	 0.234 		 233,877 	
11/2003	 0.205 	 0.010 	 0.000 	 0.000 	 -   	 0.002 	 0.217 		 217,148 	
12/2003	 0.218 	 0.010 	 0.000 	 0.000 	 -   	 0.002 	 0.230 		 229,791 	
01/2004	 0.212 	 0.010 	 0.000 	 0.000 	 -   	 0.002 	 0.225 		 225,079 	
02/2004	 0.175 	 0.009 	 0.000 	 0.000 	 -   	 0.002 	 0.186 		 186,257 	
03/2004	 0.187 	 0.010 	 0.000 	 0.000 	 -   	 0.003 	 0.200 		 200,456 	
04/2004	 0.302 	 0.009 	 0.100 	 0.000 	 -   	 0.003 	 0.414 		 414,199 	
05/2004	 0.223 	 0.008 	 0.002 	 0.000 	 -   	 0.003 	 0.236 		 236,044 	
06/2004	 0.225 	 0.010 	 0.001 	 0.000 	 -   	 0.003 	 0.239 		 239,477 	
07/2004	 0.239 	 0.010 	 0.001 	 0.000 	 -   	 0.004 	 0.255 		 254,556 	
08/2004	 0.223 	 0.010 	 0.001 	 0.000 	 -   	 0.003 	 0.238 		 237,531 	
09/2004	 0.228 	 0.009 	 0.001 	 0.000 	 -   	 0.003 	 0.241 		 240,779 	
10/2004	 0.145 	 0.009 	 0.000 	 0.000 	 -   	 0.003 	 0.156 		 156,009 	
11/2004	 0.175 	 0.008 	 0.000 	 0.000 	 -   	 0.003 	 0.186 		 185,951 	
12/2004	 0.207 	 0.011 	 0.000 	 0.000 	 -   	 0.002 	 0.221 		 220,568 					
01/2005	 0.200 	 0.011 	 0.000 	 0.000 	 -   	 0.002 	 0.213 		 213,090 					
02/2005	 0.225 	 0.010 	 0.000 	 0.000 	 -   	 0.002 	 0.238 		 237,594 					
03/2005	 0.211 	 0.010 	 0.000 	 0.000 	 -   	 0.003 	 0.224 		 223,587 					
04/2005	 0.061 	 0.027 	 0.011 	 0.007 	 0.096 	 0.004 	 0.206 		 205,695 					
05/2005	 0.066 	 0.029 	 0.013 	 0.009 	 0.106 	 0.004 	 0.229 		 228,691 					
06/2005	 0.073 	 0.032 	 0.014 	 0.010 	 0.108 	 0.005 	 0.242 		 241,643 					
07/2005	 0.077 	 0.034 	 0.016 	 0.011 	 0.118 	 0.006 	 0.261 		 260,773 					
08/2005	 0.073 	 0.033 	 0.015 	 0.011 	 0.115 	 0.005 	 0.250 		 249,861 					
09/2005	 0.068 	 0.026 	 0.013 	 0.008 	 0.112 	 0.005 	 0.232 		 232,051 					
10/2005	 0.060 	 0.027 	 0.009 	 0.007 	 0.100 	 0.003 	 0.206 		 206,069 					
11/2005	 0.069 	 0.029 	 0.008 	 0.009 	 0.110 	 0.003 	 0.226 		 226,321 					
12/2005	 0.070 	 0.027 	 0.007 	 0.008 	 0.142 	 0.003 	 0.258 		 257,696 					
01/2006	 0.080 	 0.030 	 0.007 	 0.011 	 0.108 	 0.003 	 0.240 		 240,284 					
02/2006	 0.070 	 0.028 	 0.008 	 0.009 	 0.085 	 0.003 	 0.203 		 203,234 					
03/2006	 0.067 	 0.025 	 0.009 	 0.006 	 0.129 	 0.003 	 0.239 		 238,622 					
04/2006	 0.057 	 0.023 	 0.011 	 0.005 	 0.192 	 0.004 	 0.291 		 291,170 
05/2006	 0.071 	 0.031 	 0.010 	 0.008 	 0.209 	 0.005 	 0.334 		 333,877 
06/2006	 0.072 	 0.032 	 0.015 	 0.008 	 0.207 	 0.005 	 0.339 		 339,307 
07/2006	 0.073 	 0.031 	 0.014 	 0.010 	 0.188 	 0.005 	 0.322 		 321,682 
